"country","year (Year)","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Afghanistan","amount"," "," "," "," ","6969765","42916785","155278000","468846847","1115611734","2739891016","2051616814","8352043138","3232846423","6265537546","9893876214","11112356051","9715509406","5492290930","4400902682","4403832000","3771866546","3672115000"
"Africa Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," ","11277000","7715000","4735000","6209000","847000"," "," ","1497000","16850000","14041000"
"Africa and Europe Regional","amount"," "," "," "," ","1922000","1949000","2012000","2091000","2383000","2489000","5684000","6302000"," "," "," "," "," "," "," "," "," "," "
"African Union","amount"," "," "," "," "," ","100000"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","500000","800000"
"Albania","amount"," "," "," ","417985","3309220","10883515","5501176","11494892","17650862","13032222","10119106","18081516","13204051","5946922","9520241","8475940","9264722","837536127","8590000","8207000","6992708","8090000"
"Algeria","amount"," "," "," ","14422","115000","140076","84015","713713","1005749","1540121","1671146","3656114","1760755","1741132","2416929","2253798","2813165","3365359","3231476","2745000","2550000","2300000"
"Angola","amount"," "," "," "," ","3110422","2853667","2936435","4176213","5829712","6676026","6622746","5237382","7888338","6778708","7980826","7923608","7971949","6488613","6538536","6018000","5150000","4525000"
"Antigua and Barbuda","amount","168000","336000","508000","718284","153276","807035","805000","199109","1507295","686204","411001","391184","22500","694582","2090598","499244","293317","374108","2256"," "," "," "
"Arabian Peninsula Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","40000000","50000000"
"Argentina","amount","20042861","2228908","9990763","4184285","1497256","2371047","2982163","3411325","1520558","1729546","2013601","3744541","6396872","3663347","3006610","1150750","1157748","777132","638175","576000","550000","550000"
"Armenia","amount"," "," "," "," ","542417","3498235","10647825","10197635","9204232","13602052","10698964","9648459","8972606","7741896","4482848","4438812","5558156","6318802","5562657","5030000","3868931","4000000"
"Asia Regional","amount"," "," "," "," ","4698000","1769000"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Asia and Near East Regional","amount"," "," "," "," "," "," ","3181000","1559000"," ","496000"," "," "," "," "," "," "," "," "," "," "," "," "
"Australia","amount"," "," "," "," ","236786","349408","95292"," "," "," "," "," ","7000","200000"," "," ","13814"," "," "," "," "," "
"Austria","amount"," "," "," "," ","33000","88960","0","0","0","3253","2119","14296","32339","32397","22554","39680","24494","15756","52530","0"," "," "
"Azerbaijan","amount"," "," "," "," ","1899767","3698227","18525550","14420184","22001308","33042541","30906742","24744132","48968383","11993569","5904648","15563781","4860706","4542908","4865465","3828000","2730000","2000000"
"Bahamas","amount","1037000","1104000","1024000","1354000","2463319","2921807","2431000","2138327","2298700","3253250","6801281","13604188","13856450","10285549","7291400","6267847","1270691","1550154","1202499","200000","200000","200000"
"Bahrain","amount"," "," "," "," ","425380","12794124","28920195","90448000","39205193","20985000","24685838","43064207","9099288","38134026","26911224","19670085","11074962","13889785","10972000","8527000","8600000","6600000"
"Bangladesh","amount"," "," "," "," ","523014","809310","1022535","1834873","2078167","2447351","8521778","5646229","9417077","30216134","15655428","23181053","26088063","8223424","9561782","7717000","6760000","8160000"
