"Embassy","Year","Month","Full MRN of last cable of that month","Day of last cable","MRN number","Days into the year","Per day that year","Actual number of cables that month","Trafficking cables this year"
"Abudhabi",1986,12,"86ABUDHABI5867",9,5867,343,17.10495627,1,0
"Abudhabi",1988,3,"88ABUDHABI1313",6,1313,65,20.2,1,0
"Abudhabi",1989,2,"89ABUDHABI636",1,636,32,19.875,1,0
"Abudhabi",1989,6,"89ABUDHABI3092",8,3092,159,19.44654088,1,
"Abudhabi",1989,9,"89ABUDHABI5238",27,5238,270,19.4,1,
"Abudhabi",1989,10,"89ABUDHABI5423",4,5423,277,19.57761733,1,
"Abudhabi",1990,1,"90ABUDHABI536",27,536,27,19.85185185,1,0
"Abudhabi",1990,2,"90ABUDHABI1208",28,1208,59,20.47457627,1,
"Abudhabi",1996,11,"96ABUDHABI7350",12,7350,316,23.25949367,1,0
"Abudhabi",1997,5,"97ABUDHABI3777",21,3777,141,26.78723404,1,0
"Abudhabi",2000,10,"00ABUDHABI5893",31,5893,304,19.38486842,1,0
"Abudhabi",2001,11,"01ABUDHABI6422",7,6422,311,20.64951768,1,0
"Abudhabi",2003,1,"03ABUDHABI506",31,506,31,16.32258065,48,14
"Abudhabi",2003,2,"03ABUDHABI946",26,946,57,16.59649123,40,
"Abudhabi",2003,3,"03ABUDHABI1513",30,1513,89,17,74,
"Abudhabi",2003,4,"03ABUDHABI2083",30,2083,120,17.35833333,76,
"Abudhabi",2003,5,"03ABUDHABI2561",31,2561,151,16.9602649,59,
"Abudhabi",2003,6,"03ABUDHABI3075",30,3075,181,16.98895028,57,
"Abudhabi",2003,7,"03ABUDHABI3565",30,3565,211,16.8957346,39,
"Abudhabi",2003,8,"03ABUDHABI3958",31,3958,243,16.28806584,35,
"Abudhabi",2003,9,"03ABUDHABI4402",30,4402,273,16.12454212,31,
"Abudhabi",2003,10,"03ABUDHABI4805",29,4805,302,15.91059603,37,
"Abudhabi",2003,11,"03ABUDHABI5095",29,5095,333,15.3003003,19,
"Abudhabi",2003,12,"03ABUDHABI5446",30,5446,364,14.96153846,28,
"Abudhabi",2004,1,"04ABUDHABI286",28,286,28,10.21428571,28,30
"Abudhabi",2004,2,"04ABUDHABI504",27,504,58,8.689655172,16,
"Abudhabi",2004,3,"04ABUDHABI933",31,933,90,10.36666667,32,
"Abudhabi",2004,4,"04ABUDHABI1371",28,1371,118,11.61864407,25,
"Abudhabi",2004,5,"04ABUDHABI1782",31,1782,151,11.8013245,32,
"Abudhabi",2004,6,"04ABUDHABI2181",30,2181,181,12.04972376,56,
"Abudhabi",2004,7,"04ABUDHABI2538",31,2538,212,11.97169811,36,
"Abudhabi",2004,8,"04ABUDHABI2975",31,2975,243,12.24279835,30,
"Abudhabi",2004,9,"04ABUDHABI3427",29,3427,272,12.59926471,35,
"Abudhabi",2004,10,"04ABUDHABI3855",27,3855,300,12.85,31,
"Abudhabi",2004,11,"04ABUDHABI4336",30,4336,334,12.98203593,45,
"Abudhabi",2004,12,"04ABUDHABI4765",27,4765,361,13.19944598,33,
"Abudhabi",2005,1,"05ABUDHABI447",31,447,31,14.41935484,37,44
"Abudhabi",2005,2,"05ABUDHABI917",27,917,58,15.81034483,35,
"Abudhabi",2005,3,"05ABUDHABI1333",25,1333,84,15.86904762,34,
"Abudhabi",2005,4,"05ABUDHABI1875",27,1875,117,16.02564103,16,
"Abudhabi",2005,5,"05ABUDHABI2365",25,2365,145,16.31034483,16,
"Abudhabi",2005,6,"05ABUDHABI2833",22,2833,173,16.37572254,22,
"Abudhabi",2005,7,"05ABUDHABI3346",31,3346,212,15.78301887,34,
"Abudhabi",2005,8,"05ABUDHABI3618",22,3618,234,15.46153846,13,
"Abudhabi",2005,9,"05ABUDHABI4113",30,4113,273,15.06593407,32,
"Abudhabi",2005,10,"05ABUDHABI4308",15,4308,288,14.95833333,15,
"Abudhabi",2005,11,"05ABUDHABI4904",30,4904,334,14.68263473,28,
"Abudhabi",2005,12,"05ABUDHABI5243",30,5243,364,14.40384615,37,
"Abudhabi",2006,1,"06ABUDHABI319",31,319,31,10.29032258,44,23
"Abudhabi",2006,2,"06ABUDHABI730",27,730,58,12.5862069,44,
"Abudhabi",2006,3,"06ABUDHABI1233",31,1233,90,13.7,60,
"Abudhabi",2006,4,"06ABUDHABI1742",30,1742,120,14.51666667,40,
"Abudhabi",2006,5,"06ABUDHABI2248",31,2248,151,14.88741722,53,
"Abudhabi",2006,6,"06ABUDHABI2695",29,2695,180,14.97222222,43,
"Abudhabi",2006,9,"06ABUDHABI3818",28,3818,271,14.08856089,33,
"Abudhabi",2006,10,"06ABUDHABI4094",26,4094,299,13.69230769,22,
"Abudhabi",2006,12,"06ABUDHABI4555",27,4555,361,12.61772853,26,
"Abudhabi",2007,1,"07ABUDHABI145",31,145,31,4.677419355,21,16
"Abudhabi",2007,2,"07ABUDHABI342",28,342,59,5.796610169,47,
"Abudhabi",2007,3,"07ABUDHABI528",28,528,87,6.068965517,35,
"Abudhabi",2007,4,"07ABUDHABI711",30,711,120,5.925,22,
"Abudhabi",2007,5,"07ABUDHABI906",31,906,151,6,31,
"Abudhabi",2007,6,"07ABUDHABI1101",30,1101,181,6.082872928,19,
"Abudhabi",2007,7,"07ABUDHABI1274",30,1274,211,6.037914692,34,
"Abudhabi",2007,8,"07ABUDHABI1458",30,1458,242,6.024793388,20,
"Abudhabi",2007,10,"07ABUDHABI1812",31,1812,304,5.960526316,21,
"Abudhabi",2007,11,"07ABUDHABI1954",30,1954,334,5.850299401,33,
"Abudhabi",2007,12,"07ABUDHABI2052",31,2052,365,5.621917808,9,
"Abudhabi",2008,1,"08ABUDHABI136",31,136,31,4.387096774,17,12
"Abudhabi",2008,2,"08ABUDHABI267",28,267,59,4.525423729,23,
"Abudhabi",2008,3,"08ABUDHABI393",27,393,86,4.569767442,28,
"Abudhabi",2008,4,"08ABUDHABI535",30,535,120,4.458333333,22,
"Abudhabi",2008,5,"08ABUDHABI647",28,647,148,4.371621622,13,
"Abudhabi",2008,7,"08ABUDHABI867",30,867,211,4.109004739,22,
"Abudhabi",2008,8,"08ABUDHABI983",28,983,240,4.095833333,16,
"Abudhabi",2008,9,"08ABUDHABI1109",28,1109,271,4.092250923,27,
"Abudhabi",2008,10,"08ABUDHABI1245",30,1245,303,4.108910891,29,
"Abudhabi",2008,11,"08ABUDHABI1360",26,1360,330,4.121212121,31,
"Abudhabi",2009,1,"09ABUDHABI112",29,112,29,3.862068966,31,19
"Abudhabi",2009,2,"09ABUDHABI202",26,202,57,3.543859649,29,
"Abudhabi",2009,3,"09ABUDHABI322",30,322,89,3.617977528,29,
"Abudhabi",2009,4,"09ABUDHABI418",29,418,119,3.512605042,26,
"Abudhabi",2009,5,"09ABUDHABI540",31,540,151,3.57615894,30,
"Abudhabi",2009,6,"09ABUDHABI640",22,640,173,3.699421965,36,
"Abudhabi",2009,7,"09ABUDHABI769",30,769,211,3.644549763,29,
"Abudhabi",2009,8,"09ABUDHABI862",31,862,243,3.547325103,21,
"Abudhabi",2009,9,"09ABUDHABI938",29,938,272,3.448529412,25,
"Abudhabi",2009,10,"09ABUDHABI1016",29,1016,302,3.364238411,20,
"Abudhabi",2009,11,"09ABUDHABI1114",30,1114,334,3.335329341,30,
"Abudhabi",2009,12,"09ABUDHABI1177",28,1177,362,3.251381215,28,
"Abudhabi",2010,1,"10ABUDHABI47",31,47,31,1.516129032,34,5
"Abudhabi",2010,2,"10ABUDHABI284",25,284,56,5.071428571,47,
"Abuja",2001,4,"01ABUJA884",26,884,116,7.620689655,4,14
"Abuja",2001,5,"01ABUJA1520",26,1520,146,10.4109589,31,
"Abuja",2001,6,"01ABUJA1532",29,1532,180,8.511111111,29,
"Abuja",2001,7,"01ABUJA1889",30,1889,211,8.952606635,18,
"Abuja",2001,8,"01ABUJA2179",31,2179,243,8.967078189,36,
"Abuja",2001,9,"01ABUJA2494",28,2494,271,9.20295203,42,
"Abuja",2001,10,"01ABUJA2787",31,2787,304,9.167763158,42,
"Abuja",2001,11,"01ABUJA3022",30,3022,334,9.047904192,31,
"Abuja",2001,12,"01ABUJA3288",31,3288,365,9.008219178,29,
"Abuja",2002,1,"02ABUJA306",31,306,31,9.870967742,19,20
"Abuja",2002,2,"02ABUJA653",28,653,59,11.06779661,22,
"Abuja",2002,3,"02ABUJA1029",28,1029,87,11.82758621,35,
"Abuja",2002,4,"02ABUJA1327",29,1327,119,11.1512605,32,
"Abuja",2002,5,"02ABUJA1636",31,1636,151,10.83443709,32,
"Abuja",2002,6,"02ABUJA1943",27,1943,178,10.91573034,26,
"Abuja",2002,7,"02ABUJA2263",31,2263,212,10.6745283,9,
"Abuja",2002,8,"02ABUJA2557",30,2557,242,10.5661157,23,
"Abuja",2002,9,"02ABUJA2768",27,2768,270,10.25185185,27,
"Abuja",2002,10,"02ABUJA2961",30,2961,303,9.772277228,35,
"Abuja",2002,11,"02ABUJA3241",29,3241,333,9.732732733,39,
"Abuja",2003,1,"03ABUJA221",31,221,31,7.129032258,28,8
"Abuja",2003,2,"03ABUJA420",28,420,59,7.118644068,53,
"Abuja",2003,3,"03ABUJA594",31,594,90,6.6,39,
"Abuja",2003,4,"03ABUJA806",30,806,120,6.716666667,58,
"Abuja",2003,5,"03ABUJA946",28,946,148,6.391891892,31,
"Abuja",2003,6,"03ABUJA1135",30,1135,181,6.270718232,27,
"Abuja",2003,7,"03ABUJA1314",31,1314,212,6.198113208,28,
"Abuja",2003,8,"03ABUJA1497",29,1497,241,6.211618257,44,
"Abuja",2003,9,"03ABUJA1684",29,1684,272,6.191176471,41,
"Abuja",2003,10,"03ABUJA1891",31,1891,304,6.220394737,43,
"Abuja",2003,12,"03ABUJA2231",31,2231,365,6.112328767,40,
"Abuja",2004,2,"04ABUJA350",27,350,58,6.034482759,29,5
"Abuja",2004,4,"04ABUJA773",30,773,120,6.441666667,25,
"Abuja",2004,6,"04ABUJA1159",30,1159,181,6.403314917,54,
"Abuja",2004,7,"04ABUJA1330",30,1330,211,6.303317536,46,
"Abuja",2004,8,"04ABUJA1486",30,1486,242,6.140495868,27,
"Abuja",2004,10,"04ABUJA1832",29,1832,302,6.066225166,41,
"Abuja",2005,1,"05ABUJA137",31,137,31,4.419354839,16,5
"Abuja",2005,6,"05ABUJA1164",30,1164,181,6.430939227,27,
"Abuja",2005,10,"05ABUJA2087",31,2087,304,6.865131579,52,
"Abuja",2006,4,"06ABUJA971",28,971,118,8.228813559,25,6
"Abuja",2006,5,"06ABUJA1265",30,1265,150,8.433333333,52,
"Abuja",2006,6,"06ABUJA1680",30,1680,181,9.281767956,61,
"Abuja",2006,8,"06ABUJA2262",28,2262,240,9.425,48,
"Abuja",2006,10,"06ABUJA2865",31,2865,304,9.424342105,54,
"Abuja",2006,11,"06ABUJA3083",30,3083,334,9.230538922,51,
"Abuja",2007,3,"07ABUJA632",30,632,89,7.101123596,76,2
"Abuja",2007,4,"07ABUJA841",30,841,120,7.008333333,71,
"Abuja",2007,6,"07ABUJA1376",29,1376,180,7.644444444,59,
"Abuja",2007,7,"07ABUJA1642",31,1642,212,7.745283019,51,
"Abuja",2007,9,"07ABUJA2099",28,2099,271,7.745387454,43,
"Abuja",2007,10,"07ABUJA2310",31,2310,304,7.598684211,47,
"Abuja",2007,11,"07ABUJA2481",30,2481,334,7.428143713,53,
"Abuja",2007,12,"07ABUJA2632",31,2632,365,7.210958904,35,
"Abuja",2008,1,"08ABUJA194",31,194,31,6.258064516,32,27
"Abuja",2008,2,"08ABUJA404",29,404,60,6.733333333,60,
"Abuja",2008,3,"08ABUJA582",31,582,90,6.466666667,40,
"Abuja",2008,4,"08ABUJA799",30,799,120,6.658333333,42,
"Abuja",2008,5,"08ABUJA971",30,971,150,6.473333333,41,
"Abuja",2008,6,"08ABUJA1264",30,1264,181,6.983425414,49,
"Abuja",2008,7,"08ABUJA1490",31,1490,212,7.028301887,67,
"Abuja",2008,9,"08ABUJA1929",30,1929,273,7.065934066,49,
"Abuja",2008,12,"08ABUJA2541",31,2541,365,6.961643836,69,
"Abuja",2009,1,"09ABUJA174",30,174,30,5.8,36,36
"Abuja",2009,2,"09ABUJA351",27,351,58,6.051724138,63,
"Abuja",2009,3,"09ABUJA549",31,549,90,6.1,60,
"Abuja",2009,4,"09ABUJA753",30,753,120,6.275,79,
"Abuja",2009,5,"09ABUJA936",28,936,148,6.324324324,46,
"Abuja",2009,6,"09ABUJA1212",30,1212,181,6.696132597,66,
"Abuja",2009,7,"09ABUJA1400",31,1400,212,6.603773585,50,
"Abuja",2009,8,"09ABUJA1603",31,1603,243,6.596707819,46,
"Abuja",2009,10,"09ABUJA2000",31,2000,304,6.578947368,61,
"Abuja",2009,11,"09ABUJA2152",30,2152,334,6.443113772,64,
"Abuja",2010,1,"10ABUJA125",29,125,29,4.310344828,44,2
"Abuja",2010,2,"10ABUJA215",26,215,57,3.771929825,54,
"Accra",1988,11,"88ACCRA8991",29,8991,333,27,1,0
"Accra",1990,11,"90ACCRA7474",23,7474,327,22.85626911,1,0
"Accra",1993,11,"93ACCRA10316",19,10316,323,31.9380805,1,0
"Accra",1996,11,"96ACCRA7188",6,7188,310,23.18709677,1,0
"Accra",1997,7,"97ACCRA4941",31,4941,212,23.30660377,1,0
"Accra",2001,12,"01ACCRA2992",5,2992,339,8.825958702,1,0
"Accra",2002,10,"02ACCRA2693",25,2693,298,9.036912752,1,0
"Accra",2003,3,"03ACCRA632",31,632,90,7.022222222,10,1
"Accra",2003,4,"03ACCRA835",30,835,120,6.958333333,5,
"Accra",2003,11,"03ACCRA2208",13,2208,317,6.965299685,1,
"Accra",2004,1,"04ACCRA63",12,63,12,5.25,3,9
"Accra",2004,2,"04ACCRA370",25,370,56,6.607142857,8,
"Accra",2004,6,"04ACCRA1382",30,1382,181,7.635359116,17,
