"Year","Prosecutions","Prosecutions (Labor)","Convictions","Convictions (Labor)","Victims identified","Victims (Labor)","New or amended legislation"
"2003","7992","","2815","","","","24"
"2004","6885","","3025","","","","39"
"2005","6618","","4766","","","","31"
"2006","5808","","3160","","","","21"
"2007","5682","490","3427","326","","","28"
"2008","5212","312","2983","104","30961","","26"
"2009","5606","432","4166","335","49105","","33"
"2010","6017","607","3619","237","33113","","17"
"2011","7907","456","3969","278","42291","15205","15"
"2012","7705","1153","4746","518","46570","17368","21"
"2013","9460","1199","5776","470","44758","10603","58"
"2014","10051","418","4443","216","44462","11438","20"
"2015","18930","","6609","","","",""
