id,num.ngos,num.ceiling,prop
IND,39,10,0.0712979890310786
NGA,33,10,0.0603290676416819
GBR,21,10,0.0383912248628885
NPL,18,10,0.0329067641681901
PHL,15,10,0.0274223034734918
THA,15,10,0.0274223034734918
CAN,14,10,0.0255941499085923
GHA,12,10,0.0219378427787934
KHM,12,10,0.0219378427787934
MEX,10,10,0.0182815356489945
DEU,9,9,0.0164533820840951
KEN,9,9,0.0164533820840951
MDA,8,8,0.0146252285191956
ROU,8,8,0.0146252285191956
AUS,7,7,0.0127970749542962
BGD,7,7,0.0127970749542962
ESP,7,7,0.0127970749542962
GTM,7,7,0.0127970749542962
ITA,7,7,0.0127970749542962
PAK,7,7,0.0127970749542962
VNM,7,7,0.0127970749542962
ZAF,7,7,0.0127970749542962
BEN,6,6,0.0109689213893967
BIH,6,6,0.0109689213893967
BRA,6,6,0.0109689213893967
CMR,6,6,0.0109689213893967
COD,6,6,0.0109689213893967
IDN,6,6,0.0109689213893967
NLD,6,6,0.0109689213893967
ALB,5,5,0.00914076782449726
ARM,5,5,0.00914076782449726
COL,5,5,0.00914076782449726
CRI,5,5,0.00914076782449726
FRA,5,5,0.00914076782449726
IRL,5,5,0.00914076782449726
ISR,5,5,0.00914076782449726
JOR,5,5,0.00914076782449726
NZL,5,5,0.00914076782449726
SRB,5,5,0.00914076782449726
UGA,5,5,0.00914076782449726
ARG,4,4,0.00731261425959781
BEL,4,4,0.00731261425959781
GEO,4,4,0.00731261425959781
IRQ,4,4,0.00731261425959781
KAZ,4,4,0.00731261425959781
KGZ,4,4,0.00731261425959781
LBN,4,4,0.00731261425959781
MNG,4,4,0.00731261425959781
MYS,4,4,0.00731261425959781
POL,4,4,0.00731261425959781
RUS,4,4,0.00731261425959781
TUR,4,4,0.00731261425959781
UKR,4,4,0.00731261425959781
AFG,3,3,0.00548446069469835
BLR,3,3,0.00548446069469835
CHE,3,3,0.00548446069469835
CYP,3,3,0.00548446069469835
DNK,3,3,0.00548446069469835
ECU,3,3,0.00548446069469835
EST,3,3,0.00548446069469835
GRC,3,3,0.00548446069469835
ISL,3,3,0.00548446069469835
LAO,3,3,0.00548446069469835
NIC,3,3,0.00548446069469835
NOR,3,3,0.00548446069469835
TZA,3,3,0.00548446069469835
UZB,3,3,0.00548446069469835
ARE,2,2,0.0036563071297989
BDI,2,2,0.0036563071297989
BGR,2,2,0.0036563071297989
CHL,2,2,0.0036563071297989
ETH,2,2,0.0036563071297989
FIN,2,2,0.0036563071297989
GIN,2,2,0.0036563071297989
GMB,2,2,0.0036563071297989
HTI,2,2,0.0036563071297989
LBR,2,2,0.0036563071297989
LKA,2,2,0.0036563071297989
LTU,2,2,0.0036563071297989
MKD,2,2,0.0036563071297989
MMR,2,2,0.0036563071297989
MOZ,2,2,0.0036563071297989
MWI,2,2,0.0036563071297989
PRY,2,2,0.0036563071297989
SVK,2,2,0.0036563071297989
TGO,2,2,0.0036563071297989
AUT,1,1,0.00182815356489945
BFA,1,1,0.00182815356489945
BLZ,1,1,0.00182815356489945
BOL,1,1,0.00182815356489945
CAF,1,1,0.00182815356489945
CHN,1,1,0.00182815356489945
CIV,1,1,0.00182815356489945
CZE,1,1,0.00182815356489945
DOM,1,1,0.00182815356489945
EGY,1,1,0.00182815356489945
GAB,1,1,0.00182815356489945
HND,1,1,0.00182815356489945
HRV,1,1,0.00182815356489945
HUN,1,1,0.00182815356489945
IRN,1,1,0.00182815356489945
JPN,1,1,0.00182815356489945
KOR,1,1,0.00182815356489945
KWT,1,1,0.00182815356489945
LBY,1,1,0.00182815356489945
LSO,1,1,0.00182815356489945
LUX,1,1,0.00182815356489945
LVA,1,1,0.00182815356489945
MAR,1,1,0.00182815356489945
MLI,1,1,0.00182815356489945
MNE,1,1,0.00182815356489945
NER,1,1,0.00182815356489945
PAN,1,1,0.00182815356489945
PER,1,1,0.00182815356489945
PRK,1,1,0.00182815356489945
PRT,1,1,0.00182815356489945
SDN,1,1,0.00182815356489945
SLE,1,1,0.00182815356489945
SLV,1,1,0.00182815356489945
SVN,1,1,0.00182815356489945
SWE,1,1,0.00182815356489945
TJK,1,1,0.00182815356489945
TTO,1,1,0.00182815356489945
TWN,1,1,0.00182815356489945
YEM,1,1,0.00182815356489945
AGO,NA,NA,NA
ATF,NA,NA,NA
AZE,NA,NA,NA
BHS,NA,NA,NA
BRN,NA,NA,NA
BTN,NA,NA,NA
BWA,NA,NA,NA
COG,NA,NA,NA
CUB,NA,NA,NA
DJI,NA,NA,NA
DZA,NA,NA,NA
ERI,NA,NA,NA
ESH,NA,NA,NA
FJI,NA,NA,NA
FLK,NA,NA,NA
GNB,NA,NA,NA
GNQ,NA,NA,NA
GUY,NA,NA,NA
JAM,NA,NA,NA
MDG,NA,NA,NA
MRT,NA,NA,NA
NAM,NA,NA,NA
NCL,NA,NA,NA
OMN,NA,NA,NA
PNG,NA,NA,NA
PRI,NA,NA,NA
PSE,NA,NA,NA
QAT,NA,NA,NA
RWA,NA,NA,NA
SAU,NA,NA,NA
SEN,NA,NA,NA
SLB,NA,NA,NA
SOM,NA,NA,NA
SSD,NA,NA,NA
SUR,NA,NA,NA
SWZ,NA,NA,NA
SYR,NA,NA,NA
TCD,NA,NA,NA
TKM,NA,NA,NA
TLS,NA,NA,NA
TUN,NA,NA,NA
URY,NA,NA,NA
USA,NA,NA,NA
VEN,NA,NA,NA
VUT,NA,NA,NA
ZMB,NA,NA,NA
ZWE,NA,NA,NA
