"Country","amount","Total through 2014","Total Grants through 2014","Country","cowcode","grant","recipient","Subgrantee","Prevention","protection","prosecution","research","Regional?","research","Regional?","recipient","Government",367,"name","Total Grants through 2014"
"Afghanistan","Not Listed",,,"Afghanistan",700,1,"IOM",,1,1,1,0,,,,"IGO",,,"Afghanistan",
"Afghanistan","$330,568",,,"Afghanistan",700,1,"IOM",,1,1,1,0,,,,"IGO","IGO",732,"Afghanistan",
"Afghanistan","$101,852",,,"Afghanistan",700,1,"IOM",,1,1,1,0,,,,"IGO","NPO",722,"Afghanistan",
"Afghanistan","$300,000",,,"Afghanistan",700,1,"UNICEF",,1,1,1,0,,,,"IGO","Neither",115,"Afghanistan",
"Afghanistan","$300,000",,,"Afghanistan",700,1,"IOM",,1,1,0,0,,,,"IGO","NGO",255,"Afghanistan",
"Afghanistan","$330,568",,,"Afghanistan",700,1,"UNICEF","MOJ, MOLSA, Ministry of Religious Affairs, MOWA, MOI, AIHRC",1,1,0,0,,,,"IGO","Academic Fellowship",51,"Afghanistan",
"Afghanistan","$69,993",,,"Afghanistan",700,1,"IOM",,1,1,0,0,,,,"IGO","Private Firm",68,"Afghanistan",
"Afghanistan","$385,000",,,"Afghanistan",700,1,"TAF",,1,1,0,0,,,,"NPO","Think Tank",11,"Afghanistan",
"Afghanistan","$277,100",,,"Afghanistan",700,1,"IOM",,1,0,1,0,,,,"IGO","University",38,"Afghanistan",
"Afghanistan","$540,000",,,"Afghanistan",700,1,"IOM",,1,0,1,0,,0,,"IGO",,2359,"Afghanistan",
"Afghanistan","$200,000",,,"Afghanistan",700,1,"Afghan Women Skills Development Center",,1,1,0,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$307,500",,,"Afghanistan",700,1,"IOM",,1,0,0,0,,0,,"IGO",,,"Afghanistan",
"Afghanistan","$350,000",,,"Afghanistan",700,1,"Women for Afghan Women",,1,1,1,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$350,000",,,"Afghanistan",700,1,"Hagar USA, Inc.",,1,1,0,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$250,000",,,"Afghanistan",700,1,"Afghan Women Skills Development Center",,1,0,1,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$704,000",,,"Afghanistan",700,1,"Hagar USA, Inc.",,0,1,1,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$200,000",,,"Afghanistan",700,1,"IOM",,1,0,0,0,,0,,"IGO",,,"Afghanistan",
"Afghanistan","$250,000",,,"Afghanistan",700,1,"Voice of Afghan Women",,1,1,1,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$0",,,"Afghanistan",700,0,,,,,,,,0,,,,,"Afghanistan",
"Afghanistan","$300,000",,,"Afghanistan",700,1,"The Rugmark Foundation",,1,1,0,0,,0,,"NPO",,,"Afghanistan",
"Afghanistan","$550,000","$6,096,581.00",20,"Afghanistan",700,1,"SB Security Governance Group",,0,0,1,0,,0,,"Private Firm",,,"Afghanistan",20
"Africa","Not Listed",,,"Africa",,1,"UNODCCP/CICP","ECOWAS",0,1,1,0,"Africa Regional",0,,"IGO",,,"Africa",
"Africa","Not Listed",,,"Africa",,1,"ILO/IPEC",,1,1,0,0,"Africa Regional",0,,"IGO",,,"Africa",
"Africa","Not Listed",,,"Africa",,1,"IOM, ILO, UNICEF",,1,0,0,0,"Africa Regional",0,,"IGO",,,"Africa",
"Africa","$58,880",,,"Africa",,1,"IOM",,1,1,1,0,"Africa Regional",0,,"IGO",,,"Africa",
"Africa","$8,465",,,"Africa",,1,"US Embassies",,1,1,1,0,"Africa Regional",0,,"Government",,,"Africa",
"Africa","$147,880",,,"Africa",,1,"IOM",,1,1,1,0,"Africa Regional",0,"Mekong Region","IGO",,,"Africa",
"Africa","$223,000",,,"Africa",,1,"UNODC",,1,1,1,0,"Southern Africa",0,,"IGO",,,"Africa",
"Africa","$455,000",,,"Africa",,1,"IOM",,1,0,0,0,"Southern Africa",0,,"IGO",,,"Africa",
"Africa","$578,051",,,"Africa",,1,"American Bar Association/Africa (ABA/A), Fund for Justice and Education",,1,1,1,0,"East Africa",0,,"NGO",,,"Africa",
"Africa","$398,000",,,"Africa",,1,"Search for Common Ground",,1,0,0,0,"West Africa",0,,"NPO",,,"Africa",
"Africa","$300,000",,,"Africa",,1,"Economic Community of West African States (ECOWAS)",,0,0,1,0,"West Africa",0,,"IGO",,,"Africa",
"Africa","$2,000,000",,,"Africa",,1,"IOM",,1,1,0,0,"West and Central Africa",0,,"IGO",,,"Africa",
"Africa","$545,816",,,"Africa",,1,"Faith Based Initiative on Human Trafficking Consortium",,1,1,0,0,"Africa Regional",0,"Caribbean","NPO",,,"Africa",
"Africa","$513,899",,,"Africa",,1,"Faith Consortium",,0,1,1,1,"Africa Regional",0,,"NPO",,,"Africa",
"Africa","$6,000,000",,,"Africa",,1,"International Rescue Committee",,1,0,0,0,"Africa Regional",0,,"NGO",,,"Africa",
"Africa","$596,559",,,"Africa",,1,"American Bar Association Africa",,0,1,0,1,"West Africa",0,,"NGO",,,"Africa",
"Africa","$350,000",,,"Africa",,1,"IOM",,1,1,0,1,"Southern African Development Community (SADC)",0,,"IGO",,,"Africa",
"Africa","$296,000",,,"Africa",,1,"Population Media Ceter",,1,0,0,0,"West Africa",0,,"NPO",,,"Africa",
"Africa","$200,000",,,"Africa",,1,"IOM",,1,1,0,1,"Africa Regional",0,,"IGO",,,"Africa",
"Africa","$110,000",,,"Africa",,1,"IOM",,1,1,0,1,"SADC Region",0,,"IGO",,,"Africa",
"Africa","$380,000",,,"Africa",,1,"IOM",,1,1,0,1,"Africa Regional",0,,"IGO",,,"Africa",
"Africa","$300,000",,,"Africa",,1,"IOM",,1,1,0,0,"West Africa",0,,"IGO",,,"Africa",
"Africa","$300,000",,,"Africa",,1,"Human Rights Trust of Southern Africa (SAHRIT)",,0,0,1,1,"Southern Africa",0,,"NPO",,,"Africa",
"Africa","$79,931",,,"Africa",,1,"IOM",,1,1,0,0,"African Union",0,,"IGO",,,"Africa",
