"name","fiscal year","cowcode","grant","recipient","subgrantee","prevention","protection","prosecution","research","amount","regional","recipient_type"
"Afghanistan",2002,700,1,"IOM",,1,1,1,0,"Not Listed",,"IGO"
"Afghanistan",2003,700,1,"IOM",,1,1,1,0,"$330,568",,"IGO"
"Afghanistan",2004,700,1,"IOM",,1,1,1,0,"$101,852",,"IGO"
"Afghanistan",2004,700,1,"UNICEF",,1,1,1,0,"$300,000",,"IGO"
"Afghanistan",2004,700,1,"IOM",,1,1,0,0,"$300,000",,"IGO"
"Afghanistan",2005,700,1,"UNICEF","MOJ, MOLSA, Ministry of Religious Affairs, MOWA, MOI, AIHRC",1,1,0,0,"$330,568",,"IGO"
"Afghanistan",2006,700,1,"IOM",,1,1,0,0,"$69,993",,"IGO"
"Afghanistan",2007,700,1,"TAF",,1,1,0,0,"$385,000",,"NPO"
"Afghanistan",2007,700,1,"IOM",,1,0,1,0,"$277,100",,"IGO"
"Afghanistan",2008,700,1,"IOM",,1,0,1,0,"$540,000",,"IGO"
"Afghanistan",2009,700,1,"Afghan Women Skills Development Center",1,1,0,0,0,"$200,000",0,
"Afghanistan",2009,700,1,"IOM",,1,0,0,0,"$307,500",,"IGO"
"Afghanistan",2010,700,1,"Women for Afghan Women",1,1,1,0,0,"$350,000",0,
"Afghanistan",2010,700,1,"Hagar USA, Inc.",1,1,0,0,0,"$350,000",0,
"Afghanistan",2011,700,1,"Afghan Women Skills Development Center",1,0,1,0,0,"$250,000",0,
"Afghanistan",2011,700,1,"Hagar USA, Inc.",0,1,1,0,0,"$704,000",0,
"Afghanistan",2011,700,1,"IOM",,1,0,0,0,"$200,000",,"IGO"
"Afghanistan",2011,700,1,"Voice of Afghan Women",1,1,1,0,0,"$250,000",0,
"Afghanistan",2012,700,0,,,,,,,"$0",,
"Afghanistan",2013,700,1,"The Rugmark Foundation",1,1,0,0,0,"$300,000",0,
"Afghanistan",2014,700,1,"SB Security Governance Group",0,0,1,0,0,"$550,000",0,
"Africa",2002,,1,"UNODCCP/CICP","ECOWAS",0,1,1,0,"Not Listed","Africa Regional","IGO"
"Africa",2002,,1,"ILO/IPEC",,1,1,0,0,"Not Listed","Africa Regional","IGO"
